"split","instance","assets","K","k_ratio","theta_index","theta_id","predicted_score","predicted_C_LabelScore","S","operator","migration","elite_ratio","stagnation_threshold","path","selector_ablation_variant","method_name"
"test","syn_n100_k30_low_corr_normal_low_vol_r01_s20260721","100","30","0.3","3","theta_037","17.593939523809514","17.593939523809514","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n100_k30_low_corr_normal_low_vol_r01_s20260721.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722","100","30","0.3","13","theta_131","17.950052142857164","17.950052142857164","3","DE/best","adaptive","0.05","10","data\synthetic_constrained_portfolio\instances\test\syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733","200","10","0.05","2","theta_034","18.471881666666672","18.471881666666672","2","DE/best","none","0.1","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734","200","10","0.05","16","theta_159","17.557789466089467","17.557789466089467","3","mixed","adaptive","0.05","20","data\synthetic_constrained_portfolio\instances\test\syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n200_k10_pathological_cov_skewed_high_vol_r03_s20260745","200","20","0.1","18","theta_170","18.161644603174643","18.161644603174643","5","DE/rand","none","0.1","10","data\synthetic_constrained_portfolio\instances\test\syn_n200_k10_pathological_cov_skewed_high_vol_r03_s20260745.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n200_k10_high_corr_heavy_tail_extreme_events_r01_s20260746","200","20","0.1","3","theta_037","19.381775476190484","19.381775476190484","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k10_high_corr_heavy_tail_extreme_events_r01_s20260746.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n200_k20_low_corr_normal_low_vol_r01_s20260757","200","40","0.2","3","theta_037","17.905091587301577","17.905091587301577","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k20_low_corr_normal_low_vol_r01_s20260757.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n200_k20_high_corr_heavy_tail_extreme_events_r01_s20260758","200","40","0.2","2","theta_034","15.551537619047712","15.551537619047712","2","DE/best","none","0.1","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k20_high_corr_heavy_tail_extreme_events_r01_s20260758.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n200_k30_high_corr_normal_low_vol_r03_s20260769","200","60","0.3","3","theta_037","18.435270158730148","18.435270158730148","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k30_high_corr_normal_low_vol_r03_s20260769.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n200_k30_low_corr_skewed_extreme_events_r02_s20260770","200","60","0.3","2","theta_034","18.476436190476186","18.476436190476186","2","DE/best","none","0.1","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k30_low_corr_skewed_extreme_events_r02_s20260770.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n500_k05_pathological_cov_mixed_low_vol_r01_s20260781","500","25","0.05","14","theta_132","19.403661587301517","19.403661587301517","3","DE/best","adaptive","0.05","20","data\synthetic_constrained_portfolio\instances\test\syn_n500_k05_pathological_cov_mixed_low_vol_r01_s20260781.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n500_k05_low_corr_normal_low_vol_r01_s20260782","500","25","0.05","6","theta_067","18.474422777777793","18.474422777777793","2","mixed","fixed","0.05","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k05_low_corr_normal_low_vol_r01_s20260782.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n500_k10_low_corr_heavy_tail_high_vol_r03_s20260793","500","50","0.1","13","theta_131","18.658289285714325","18.658289285714325","3","DE/best","adaptive","0.05","10","data\synthetic_constrained_portfolio\instances\test\syn_n500_k10_low_corr_heavy_tail_high_vol_r03_s20260793.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n500_k10_pathological_cov_mixed_low_vol_r01_s20260794","500","50","0.1","13","theta_131","20.860509639249596","20.860509639249596","3","DE/best","adaptive","0.05","10","data\synthetic_constrained_portfolio\instances\test\syn_n500_k10_pathological_cov_mixed_low_vol_r01_s20260794.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n500_k20_cluster_corr_skewed_high_vol_r01_s20260805","500","100","0.2","14","theta_132","18.473048658008654","18.473048658008654","3","DE/best","adaptive","0.05","20","data\synthetic_constrained_portfolio\instances\test\syn_n500_k20_cluster_corr_skewed_high_vol_r01_s20260805.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n500_k20_pathological_cov_mixed_low_vol_r01_s20260806","500","100","0.2","3","theta_037","18.51388857142854","18.51388857142854","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k20_pathological_cov_mixed_low_vol_r01_s20260806.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n500_k30_cluster_corr_skewed_high_vol_r01_s20260817","500","150","0.3","3","theta_037","20.25577317460317","20.25577317460317","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k30_cluster_corr_skewed_high_vol_r01_s20260817.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n500_k30_pathological_cov_normal_extreme_events_r02_s20260818","500","150","0.3","2","theta_034","14.986972500000086","14.986972500000086","2","DE/best","none","0.1","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k30_pathological_cov_normal_extreme_events_r02_s20260818.txt","FullSelector","SelectorAblation_FullSelector_ECMADE_MOO"
"test","syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637","50","3","0.05","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638","50","3","0.05","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649","50","5","0.1","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650","50","5","0.1","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661","50","10","0.2","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662","50","10","0.2","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673","50","15","0.3","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674","50","15","0.3","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685","100","5","0.05","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686","100","5","0.05","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697","100","10","0.1","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n100_k10_high_corr_normal_low_vol_r03_s20260698","100","10","0.1","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_high_corr_normal_low_vol_r03_s20260698.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709","100","20","0.2","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710","100","20","0.2","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n100_k30_low_corr_normal_low_vol_r01_s20260721","100","30","0.3","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n100_k30_low_corr_normal_low_vol_r01_s20260721.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722","100","30","0.3","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733","200","10","0.05","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734","200","10","0.05","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n200_k10_pathological_cov_skewed_high_vol_r03_s20260745","200","20","0.1","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k10_pathological_cov_skewed_high_vol_r03_s20260745.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n200_k10_high_corr_heavy_tail_extreme_events_r01_s20260746","200","20","0.1","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k10_high_corr_heavy_tail_extreme_events_r01_s20260746.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n200_k20_low_corr_normal_low_vol_r01_s20260757","200","40","0.2","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k20_low_corr_normal_low_vol_r01_s20260757.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n200_k20_high_corr_heavy_tail_extreme_events_r01_s20260758","200","40","0.2","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k20_high_corr_heavy_tail_extreme_events_r01_s20260758.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n200_k30_high_corr_normal_low_vol_r03_s20260769","200","60","0.3","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k30_high_corr_normal_low_vol_r03_s20260769.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n200_k30_low_corr_skewed_extreme_events_r02_s20260770","200","60","0.3","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n200_k30_low_corr_skewed_extreme_events_r02_s20260770.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n500_k05_pathological_cov_mixed_low_vol_r01_s20260781","500","25","0.05","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k05_pathological_cov_mixed_low_vol_r01_s20260781.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n500_k05_low_corr_normal_low_vol_r01_s20260782","500","25","0.05","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k05_low_corr_normal_low_vol_r01_s20260782.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n500_k10_low_corr_heavy_tail_high_vol_r03_s20260793","500","50","0.1","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k10_low_corr_heavy_tail_high_vol_r03_s20260793.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n500_k10_pathological_cov_mixed_low_vol_r01_s20260794","500","50","0.1","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k10_pathological_cov_mixed_low_vol_r01_s20260794.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n500_k20_cluster_corr_skewed_high_vol_r01_s20260805","500","100","0.2","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k20_cluster_corr_skewed_high_vol_r01_s20260805.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n500_k20_pathological_cov_mixed_low_vol_r01_s20260806","500","100","0.2","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k20_pathological_cov_mixed_low_vol_r01_s20260806.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n500_k30_cluster_corr_skewed_high_vol_r01_s20260817","500","150","0.3","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k30_cluster_corr_skewed_high_vol_r01_s20260817.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n500_k30_pathological_cov_normal_extreme_events_r02_s20260818","500","150","0.3","3","theta_037","15.777044503715548","15.777044503715548","2","DE/best","fixed","0.01","5","data\synthetic_constrained_portfolio\instances\test\syn_n500_k30_pathological_cov_normal_extreme_events_r02_s20260818.txt","NoInstanceFeatures","SelectorAblation_NoInstanceFeatures_ECMADE_MOO"
"test","syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637","50","3","0.05","1","theta_011","12.603071479167545","12.603071479167545","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638","50","3","0.05","1","theta_011","12.359881727420357","12.359881727420357","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649","50","5","0.1","1","theta_011","12.50079101343799","12.50079101343799","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650","50","5","0.1","1","theta_011","12.571968459815404","12.571968459815404","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661","50","10","0.2","1","theta_011","12.545549721313751","12.545549721313751","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662","50","10","0.2","1","theta_011","12.59662160412359","12.59662160412359","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673","50","15","0.3","1","theta_011","12.544681383143164","12.544681383143164","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674","50","15","0.3","1","theta_011","12.597438485371814","12.597438485371814","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685","100","5","0.05","1","theta_011","12.51724080561432","12.51724080561432","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686","100","5","0.05","1","theta_011","12.575682438019289","12.575682438019289","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697","100","10","0.1","1","theta_011","12.501238637693172","12.501238637693172","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n100_k10_high_corr_normal_low_vol_r03_s20260698","100","10","0.1","1","theta_011","12.516197866130815","12.516197866130815","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_high_corr_normal_low_vol_r03_s20260698.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709","100","20","0.2","1","theta_011","12.518144136990708","12.518144136990708","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
"test","syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710","100","20","0.2","1","theta_011","12.514311258887451","12.514311258887451","2","DE/rand","fixed","0.01","10","data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710.txt","NoThetaFeatures","SelectorAblation_NoThetaFeatures_ECMADE_MOO"
