split,instance,assets,K,k_ratio,theta_index,theta_id,predicted_score,predicted_C_LabelScore,S,operator,migration,elite_ratio,stagnation_threshold,path,selector_ablation_variant,method_name
test,syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734,200,10,0.05,6,theta_067,14.891348571428566,14.891348571428566,2,mixed,fixed,0.05,5,data\synthetic_constrained_portfolio\instances\test\syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n200_k10_pathological_cov_skewed_high_vol_r03_s20260745,200,20,0.1,2,theta_034,17.506083809523798,17.506083809523798,2,DE/best,none,0.1,5,data\synthetic_constrained_portfolio\instances\test\syn_n200_k10_pathological_cov_skewed_high_vol_r03_s20260745.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n200_k10_high_corr_heavy_tail_extreme_events_r01_s20260746,200,20,0.1,3,theta_037,15.968329285714283,15.968329285714283,2,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n200_k10_high_corr_heavy_tail_extreme_events_r01_s20260746.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n200_k20_low_corr_normal_low_vol_r01_s20260757,200,40,0.2,2,theta_034,16.955186277056256,16.955186277056256,2,DE/best,none,0.1,5,data\synthetic_constrained_portfolio\instances\test\syn_n200_k20_low_corr_normal_low_vol_r01_s20260757.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n200_k20_high_corr_heavy_tail_extreme_events_r01_s20260758,200,40,0.2,24,theta_237,18.436739920634917,18.436739920634917,5,mixed,adaptive,0.01,20,data\synthetic_constrained_portfolio\instances\test\syn_n200_k20_high_corr_heavy_tail_extreme_events_r01_s20260758.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n200_k30_high_corr_normal_low_vol_r03_s20260769,200,60,0.3,14,theta_132,16.60145901875904,16.60145901875904,3,DE/best,adaptive,0.05,20,data\synthetic_constrained_portfolio\instances\test\syn_n200_k30_high_corr_normal_low_vol_r03_s20260769.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n200_k30_low_corr_skewed_extreme_events_r02_s20260770,200,60,0.3,11,theta_089,16.539634999999993,16.539634999999993,3,DE/rand,none,0.1,10,data\synthetic_constrained_portfolio\instances\test\syn_n200_k30_low_corr_skewed_extreme_events_r02_s20260770.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n500_k05_pathological_cov_mixed_low_vol_r01_s20260781,500,25,0.05,15,theta_144,14.917055952380947,14.917055952380947,3,mixed,none,0.1,20,data\synthetic_constrained_portfolio\instances\test\syn_n500_k05_pathological_cov_mixed_low_vol_r01_s20260781.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n500_k05_low_corr_normal_low_vol_r01_s20260782,500,25,0.05,12,theta_118,17.619422200577215,17.619422200577215,3,DE/best,fixed,0.01,5,data\synthetic_constrained_portfolio\instances\test\syn_n500_k05_low_corr_normal_low_vol_r01_s20260782.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n500_k10_low_corr_heavy_tail_high_vol_r03_s20260793,500,50,0.1,21,theta_200,15.329169307359306,15.329169307359306,5,DE/best,fixed,0.01,10,data\synthetic_constrained_portfolio\instances\test\syn_n500_k10_low_corr_heavy_tail_high_vol_r03_s20260793.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n500_k10_pathological_cov_mixed_low_vol_r01_s20260794,500,50,0.1,8,theta_078,14.766664841269836,14.766664841269836,2,mixed,adaptive,0.05,20,data\synthetic_constrained_portfolio\instances\test\syn_n500_k10_pathological_cov_mixed_low_vol_r01_s20260794.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n500_k20_cluster_corr_skewed_high_vol_r01_s20260805,500,100,0.2,7,theta_076,16.31470206349206,16.31470206349206,2,mixed,adaptive,0.05,5,data\synthetic_constrained_portfolio\instances\test\syn_n500_k20_cluster_corr_skewed_high_vol_r01_s20260805.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n500_k20_pathological_cov_mixed_low_vol_r01_s20260806,500,100,0.2,18,theta_170,16.306844761904756,16.306844761904756,5,DE/rand,none,0.1,10,data\synthetic_constrained_portfolio\instances\test\syn_n500_k20_pathological_cov_mixed_low_vol_r01_s20260806.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n500_k30_cluster_corr_skewed_high_vol_r01_s20260817,500,150,0.3,11,theta_089,16.478512579365074,16.478512579365074,3,DE/rand,none,0.1,10,data\synthetic_constrained_portfolio\instances\test\syn_n500_k30_cluster_corr_skewed_high_vol_r01_s20260817.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
test,syn_n500_k30_pathological_cov_normal_extreme_events_r02_s20260818,500,150,0.3,18,theta_170,17.41942999999998,17.41942999999998,5,DE/rand,none,0.1,10,data\synthetic_constrained_portfolio\instances\test\syn_n500_k30_pathological_cov_normal_extreme_events_r02_s20260818.txt,RandomizedLabels,SelectorAblation_RandomizedLabels_ECMADE_MOO
