instance,split,assets,days,k_ratio,K,corr_structure,return_distribution,risk_structure,replicate,seed,path
syn_n50_k10_high_corr_mixed_high_vol_r02_s20260639,train,50,756,0.1,5,high_corr,mixed,high_vol,2,3140670700,data\synthetic_constrained_portfolio\instances\train\syn_n50_k10_high_corr_mixed_high_vol_r02_s20260639.txt
syn_n50_k10_cluster_corr_mixed_extreme_events_r03_s20260640,train,50,756,0.1,5,cluster_corr,mixed,extreme_events,3,2405046123,data\synthetic_constrained_portfolio\instances\train\syn_n50_k10_cluster_corr_mixed_extreme_events_r03_s20260640.txt
syn_n50_k10_low_corr_heavy_tail_high_vol_r03_s20260641,train,50,756,0.1,5,low_corr,heavy_tail,high_vol,3,1932012163,data\synthetic_constrained_portfolio\instances\train\syn_n50_k10_low_corr_heavy_tail_high_vol_r03_s20260641.txt
syn_n50_k10_low_corr_normal_low_vol_r01_s20260642,train,50,756,0.1,5,low_corr,normal,low_vol,1,1866020648,data\synthetic_constrained_portfolio\instances\train\syn_n50_k10_low_corr_normal_low_vol_r01_s20260642.txt
syn_n50_k10_high_corr_normal_low_vol_r03_s20260643,train,50,756,0.1,5,high_corr,normal,low_vol,3,3789171445,data\synthetic_constrained_portfolio\instances\train\syn_n50_k10_high_corr_normal_low_vol_r03_s20260643.txt
syn_n50_k10_pathological_cov_skewed_high_vol_r03_s20260644,train,50,756,0.1,5,pathological_cov,skewed,high_vol,3,1587117471,data\synthetic_constrained_portfolio\instances\train\syn_n50_k10_pathological_cov_skewed_high_vol_r03_s20260644.txt
syn_n50_k10_high_corr_heavy_tail_extreme_events_r01_s20260645,train,50,756,0.1,5,high_corr,heavy_tail,extreme_events,1,1200697997,data\synthetic_constrained_portfolio\instances\train\syn_n50_k10_high_corr_heavy_tail_extreme_events_r01_s20260645.txt
syn_n50_k10_pathological_cov_mixed_low_vol_r01_s20260646,validation,50,756,0.1,5,pathological_cov,mixed,low_vol,1,2091743357,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k10_pathological_cov_mixed_low_vol_r01_s20260646.txt
syn_n50_k10_cluster_corr_heavy_tail_low_vol_r02_s20260647,validation,50,756,0.1,5,cluster_corr,heavy_tail,low_vol,2,3421094177,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k10_cluster_corr_heavy_tail_low_vol_r02_s20260647.txt
syn_n50_k10_pathological_cov_normal_extreme_events_r02_s20260648,validation,50,756,0.1,5,pathological_cov,normal,extreme_events,2,1002908893,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k10_pathological_cov_normal_extreme_events_r02_s20260648.txt
syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649,test,50,756,0.1,5,cluster_corr,skewed,high_vol,1,1224826109,data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649.txt
syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650,test,50,756,0.1,5,low_corr,skewed,extreme_events,2,1106326050,data\synthetic_constrained_portfolio\instances\test\syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650.txt
syn_n50_k20_low_corr_heavy_tail_high_vol_r03_s20260651,train,50,756,0.2,10,low_corr,heavy_tail,high_vol,3,263029221,data\synthetic_constrained_portfolio\instances\train\syn_n50_k20_low_corr_heavy_tail_high_vol_r03_s20260651.txt
syn_n50_k20_pathological_cov_mixed_low_vol_r01_s20260652,train,50,756,0.2,10,pathological_cov,mixed,low_vol,1,3386973880,data\synthetic_constrained_portfolio\instances\train\syn_n50_k20_pathological_cov_mixed_low_vol_r01_s20260652.txt
syn_n50_k20_low_corr_skewed_extreme_events_r02_s20260653,train,50,756,0.2,10,low_corr,skewed,extreme_events,2,3307082220,data\synthetic_constrained_portfolio\instances\train\syn_n50_k20_low_corr_skewed_extreme_events_r02_s20260653.txt
syn_n50_k20_high_corr_mixed_high_vol_r02_s20260654,train,50,756,0.2,10,high_corr,mixed,high_vol,2,3645830371,data\synthetic_constrained_portfolio\instances\train\syn_n50_k20_high_corr_mixed_high_vol_r02_s20260654.txt
syn_n50_k20_high_corr_normal_low_vol_r03_s20260655,train,50,756,0.2,10,high_corr,normal,low_vol,3,45187522,data\synthetic_constrained_portfolio\instances\train\syn_n50_k20_high_corr_normal_low_vol_r03_s20260655.txt
syn_n50_k20_low_corr_normal_low_vol_r01_s20260656,train,50,756,0.2,10,low_corr,normal,low_vol,1,2612114532,data\synthetic_constrained_portfolio\instances\train\syn_n50_k20_low_corr_normal_low_vol_r01_s20260656.txt
syn_n50_k20_cluster_corr_mixed_extreme_events_r03_s20260657,train,50,756,0.2,10,cluster_corr,mixed,extreme_events,3,1725963880,data\synthetic_constrained_portfolio\instances\train\syn_n50_k20_cluster_corr_mixed_extreme_events_r03_s20260657.txt
syn_n50_k20_pathological_cov_skewed_high_vol_r03_s20260658,validation,50,756,0.2,10,pathological_cov,skewed,high_vol,3,2755466381,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k20_pathological_cov_skewed_high_vol_r03_s20260658.txt
syn_n50_k20_cluster_corr_heavy_tail_low_vol_r02_s20260659,validation,50,756,0.2,10,cluster_corr,heavy_tail,low_vol,2,665082190,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k20_cluster_corr_heavy_tail_low_vol_r02_s20260659.txt
syn_n50_k20_high_corr_heavy_tail_extreme_events_r01_s20260660,validation,50,756,0.2,10,high_corr,heavy_tail,extreme_events,1,2888597884,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k20_high_corr_heavy_tail_extreme_events_r01_s20260660.txt
syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661,test,50,756,0.2,10,pathological_cov,normal,extreme_events,2,1372225971,data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661.txt
syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662,test,50,756,0.2,10,cluster_corr,skewed,high_vol,1,3093131318,data\synthetic_constrained_portfolio\instances\test\syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662.txt
syn_n50_k30_high_corr_heavy_tail_extreme_events_r01_s20260663,train,50,756,0.3,15,high_corr,heavy_tail,extreme_events,1,1323369480,data\synthetic_constrained_portfolio\instances\train\syn_n50_k30_high_corr_heavy_tail_extreme_events_r01_s20260663.txt
syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,train,50,756,0.3,15,cluster_corr,mixed,extreme_events,3,3592749332,data\synthetic_constrained_portfolio\instances\train\syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664.txt
syn_n50_k30_pathological_cov_mixed_low_vol_r01_s20260665,train,50,756,0.3,15,pathological_cov,mixed,low_vol,1,1832599876,data\synthetic_constrained_portfolio\instances\train\syn_n50_k30_pathological_cov_mixed_low_vol_r01_s20260665.txt
syn_n50_k30_high_corr_normal_low_vol_r03_s20260666,train,50,756,0.3,15,high_corr,normal,low_vol,3,3518826762,data\synthetic_constrained_portfolio\instances\train\syn_n50_k30_high_corr_normal_low_vol_r03_s20260666.txt
syn_n50_k30_high_corr_mixed_high_vol_r02_s20260667,train,50,756,0.3,15,high_corr,mixed,high_vol,2,2788898668,data\synthetic_constrained_portfolio\instances\train\syn_n50_k30_high_corr_mixed_high_vol_r02_s20260667.txt
syn_n50_k30_low_corr_normal_low_vol_r01_s20260668,train,50,756,0.3,15,low_corr,normal,low_vol,1,2790477244,data\synthetic_constrained_portfolio\instances\train\syn_n50_k30_low_corr_normal_low_vol_r01_s20260668.txt
syn_n50_k30_pathological_cov_normal_extreme_events_r02_s20260669,train,50,756,0.3,15,pathological_cov,normal,extreme_events,2,1058370982,data\synthetic_constrained_portfolio\instances\train\syn_n50_k30_pathological_cov_normal_extreme_events_r02_s20260669.txt
syn_n50_k30_cluster_corr_skewed_high_vol_r01_s20260670,validation,50,756,0.3,15,cluster_corr,skewed,high_vol,1,2130225560,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k30_cluster_corr_skewed_high_vol_r01_s20260670.txt
syn_n50_k30_pathological_cov_skewed_high_vol_r03_s20260671,validation,50,756,0.3,15,pathological_cov,skewed,high_vol,3,1137684086,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k30_pathological_cov_skewed_high_vol_r03_s20260671.txt
syn_n50_k30_low_corr_skewed_extreme_events_r02_s20260672,validation,50,756,0.3,15,low_corr,skewed,extreme_events,2,4009083565,data\synthetic_constrained_portfolio\instances\validation\syn_n50_k30_low_corr_skewed_extreme_events_r02_s20260672.txt
syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673,test,50,756,0.3,15,cluster_corr,heavy_tail,low_vol,2,1779779653,data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673.txt
syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674,test,50,756,0.3,15,low_corr,heavy_tail,high_vol,3,3497148882,data\synthetic_constrained_portfolio\instances\test\syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674.txt
syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,train,100,756,0.05,5,high_corr,mixed,high_vol,2,4199032974,data\synthetic_constrained_portfolio\instances\train\syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675.txt
syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,train,100,756,0.05,5,cluster_corr,mixed,extreme_events,3,2715118139,data\synthetic_constrained_portfolio\instances\train\syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676.txt
syn_n100_k05_low_corr_heavy_tail_high_vol_r03_s20260677,train,100,756,0.05,5,low_corr,heavy_tail,high_vol,3,532042845,data\synthetic_constrained_portfolio\instances\train\syn_n100_k05_low_corr_heavy_tail_high_vol_r03_s20260677.txt
syn_n100_k05_low_corr_normal_low_vol_r01_s20260678,train,100,756,0.05,5,low_corr,normal,low_vol,1,667257066,data\synthetic_constrained_portfolio\instances\train\syn_n100_k05_low_corr_normal_low_vol_r01_s20260678.txt
syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,train,100,756,0.05,5,high_corr,normal,low_vol,3,3506937538,data\synthetic_constrained_portfolio\instances\train\syn_n100_k05_high_corr_normal_low_vol_r03_s20260679.txt
syn_n100_k05_pathological_cov_skewed_high_vol_r03_s20260680,train,100,756,0.05,5,pathological_cov,skewed,high_vol,3,2825930405,data\synthetic_constrained_portfolio\instances\train\syn_n100_k05_pathological_cov_skewed_high_vol_r03_s20260680.txt
syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,train,100,756,0.05,5,high_corr,heavy_tail,extreme_events,1,1516069290,data\synthetic_constrained_portfolio\instances\train\syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681.txt
syn_n100_k05_pathological_cov_mixed_low_vol_r01_s20260682,validation,100,756,0.05,5,pathological_cov,mixed,low_vol,1,3810808662,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k05_pathological_cov_mixed_low_vol_r01_s20260682.txt
syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683,validation,100,756,0.05,5,cluster_corr,heavy_tail,low_vol,2,3065824488,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k05_cluster_corr_heavy_tail_low_vol_r02_s20260683.txt
syn_n100_k05_pathological_cov_normal_extreme_events_r02_s20260684,validation,100,756,0.05,5,pathological_cov,normal,extreme_events,2,585491004,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k05_pathological_cov_normal_extreme_events_r02_s20260684.txt
syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,test,100,756,0.05,5,cluster_corr,skewed,high_vol,1,2108345784,data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685.txt
syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,test,100,756,0.05,5,low_corr,skewed,extreme_events,2,2449179305,data\synthetic_constrained_portfolio\instances\test\syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686.txt
syn_n100_k10_pathological_cov_normal_extreme_events_r02_s20260687,train,100,756,0.1,10,pathological_cov,normal,extreme_events,2,2727969012,data\synthetic_constrained_portfolio\instances\train\syn_n100_k10_pathological_cov_normal_extreme_events_r02_s20260687.txt
syn_n100_k10_high_corr_heavy_tail_extreme_events_r01_s20260688,train,100,756,0.1,10,high_corr,heavy_tail,extreme_events,1,2340773609,data\synthetic_constrained_portfolio\instances\train\syn_n100_k10_high_corr_heavy_tail_extreme_events_r01_s20260688.txt
syn_n100_k10_cluster_corr_heavy_tail_low_vol_r02_s20260689,train,100,756,0.1,10,cluster_corr,heavy_tail,low_vol,2,2036272523,data\synthetic_constrained_portfolio\instances\train\syn_n100_k10_cluster_corr_heavy_tail_low_vol_r02_s20260689.txt
syn_n100_k10_low_corr_normal_low_vol_r01_s20260690,train,100,756,0.1,10,low_corr,normal,low_vol,1,3788330946,data\synthetic_constrained_portfolio\instances\train\syn_n100_k10_low_corr_normal_low_vol_r01_s20260690.txt
syn_n100_k10_pathological_cov_mixed_low_vol_r01_s20260691,train,100,756,0.1,10,pathological_cov,mixed,low_vol,1,3123816805,data\synthetic_constrained_portfolio\instances\train\syn_n100_k10_pathological_cov_mixed_low_vol_r01_s20260691.txt
syn_n100_k10_high_corr_mixed_high_vol_r02_s20260692,train,100,756,0.1,10,high_corr,mixed,high_vol,2,654858559,data\synthetic_constrained_portfolio\instances\train\syn_n100_k10_high_corr_mixed_high_vol_r02_s20260692.txt
syn_n100_k10_cluster_corr_mixed_extreme_events_r03_s20260693,train,100,756,0.1,10,cluster_corr,mixed,extreme_events,3,1503268182,data\synthetic_constrained_portfolio\instances\train\syn_n100_k10_cluster_corr_mixed_extreme_events_r03_s20260693.txt
syn_n100_k10_low_corr_skewed_extreme_events_r02_s20260694,validation,100,756,0.1,10,low_corr,skewed,extreme_events,2,2123144429,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k10_low_corr_skewed_extreme_events_r02_s20260694.txt
syn_n100_k10_low_corr_heavy_tail_high_vol_r03_s20260695,validation,100,756,0.1,10,low_corr,heavy_tail,high_vol,3,2853140741,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k10_low_corr_heavy_tail_high_vol_r03_s20260695.txt
syn_n100_k10_pathological_cov_skewed_high_vol_r03_s20260696,validation,100,756,0.1,10,pathological_cov,skewed,high_vol,3,2502565596,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k10_pathological_cov_skewed_high_vol_r03_s20260696.txt
syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,test,100,756,0.1,10,cluster_corr,skewed,high_vol,1,1540653833,data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697.txt
syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,test,100,756,0.1,10,high_corr,normal,low_vol,3,930825280,data\synthetic_constrained_portfolio\instances\test\syn_n100_k10_high_corr_normal_low_vol_r03_s20260698.txt
syn_n100_k20_low_corr_normal_low_vol_r01_s20260699,train,100,756,0.2,20,low_corr,normal,low_vol,1,197666332,data\synthetic_constrained_portfolio\instances\train\syn_n100_k20_low_corr_normal_low_vol_r01_s20260699.txt
syn_n100_k20_low_corr_skewed_extreme_events_r02_s20260700,train,100,756,0.2,20,low_corr,skewed,extreme_events,2,2333769165,data\synthetic_constrained_portfolio\instances\train\syn_n100_k20_low_corr_skewed_extreme_events_r02_s20260700.txt
syn_n100_k20_high_corr_mixed_high_vol_r02_s20260701,train,100,756,0.2,20,high_corr,mixed,high_vol,2,4115775102,data\synthetic_constrained_portfolio\instances\train\syn_n100_k20_high_corr_mixed_high_vol_r02_s20260701.txt
syn_n100_k20_cluster_corr_heavy_tail_low_vol_r02_s20260702,train,100,756,0.2,20,cluster_corr,heavy_tail,low_vol,2,1690638824,data\synthetic_constrained_portfolio\instances\train\syn_n100_k20_cluster_corr_heavy_tail_low_vol_r02_s20260702.txt
syn_n100_k20_pathological_cov_normal_extreme_events_r02_s20260703,train,100,756,0.2,20,pathological_cov,normal,extreme_events,2,1005505187,data\synthetic_constrained_portfolio\instances\train\syn_n100_k20_pathological_cov_normal_extreme_events_r02_s20260703.txt
syn_n100_k20_low_corr_heavy_tail_high_vol_r03_s20260704,train,100,756,0.2,20,low_corr,heavy_tail,high_vol,3,4003851896,data\synthetic_constrained_portfolio\instances\train\syn_n100_k20_low_corr_heavy_tail_high_vol_r03_s20260704.txt
syn_n100_k20_cluster_corr_skewed_high_vol_r01_s20260705,train,100,756,0.2,20,cluster_corr,skewed,high_vol,1,3992927227,data\synthetic_constrained_portfolio\instances\train\syn_n100_k20_cluster_corr_skewed_high_vol_r01_s20260705.txt
syn_n100_k20_cluster_corr_mixed_extreme_events_r03_s20260706,validation,100,756,0.2,20,cluster_corr,mixed,extreme_events,3,1354560608,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k20_cluster_corr_mixed_extreme_events_r03_s20260706.txt
syn_n100_k20_pathological_cov_mixed_low_vol_r01_s20260707,validation,100,756,0.2,20,pathological_cov,mixed,low_vol,1,348024843,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k20_pathological_cov_mixed_low_vol_r01_s20260707.txt
syn_n100_k20_high_corr_normal_low_vol_r03_s20260708,validation,100,756,0.2,20,high_corr,normal,low_vol,3,1793177286,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k20_high_corr_normal_low_vol_r03_s20260708.txt
syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,test,100,756,0.2,20,pathological_cov,skewed,high_vol,3,569264661,data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709.txt
syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,test,100,756,0.2,20,high_corr,heavy_tail,extreme_events,1,2346837535,data\synthetic_constrained_portfolio\instances\test\syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710.txt
syn_n100_k30_cluster_corr_heavy_tail_low_vol_r02_s20260711,train,100,756,0.3,30,cluster_corr,heavy_tail,low_vol,2,1110579724,data\synthetic_constrained_portfolio\instances\train\syn_n100_k30_cluster_corr_heavy_tail_low_vol_r02_s20260711.txt
syn_n100_k30_pathological_cov_skewed_high_vol_r03_s20260712,train,100,756,0.3,30,pathological_cov,skewed,high_vol,3,3105111205,data\synthetic_constrained_portfolio\instances\train\syn_n100_k30_pathological_cov_skewed_high_vol_r03_s20260712.txt
syn_n100_k30_high_corr_mixed_high_vol_r02_s20260713,train,100,756,0.3,30,high_corr,mixed,high_vol,2,2118857301,data\synthetic_constrained_portfolio\instances\train\syn_n100_k30_high_corr_mixed_high_vol_r02_s20260713.txt
syn_n100_k30_cluster_corr_skewed_high_vol_r01_s20260714,train,100,756,0.3,30,cluster_corr,skewed,high_vol,1,2141573909,data\synthetic_constrained_portfolio\instances\train\syn_n100_k30_cluster_corr_skewed_high_vol_r01_s20260714.txt
syn_n100_k30_low_corr_skewed_extreme_events_r02_s20260715,train,100,756,0.3,30,low_corr,skewed,extreme_events,2,3650816182,data\synthetic_constrained_portfolio\instances\train\syn_n100_k30_low_corr_skewed_extreme_events_r02_s20260715.txt
syn_n100_k30_cluster_corr_mixed_extreme_events_r03_s20260716,train,100,756,0.3,30,cluster_corr,mixed,extreme_events,3,3213845867,data\synthetic_constrained_portfolio\instances\train\syn_n100_k30_cluster_corr_mixed_extreme_events_r03_s20260716.txt
syn_n100_k30_pathological_cov_mixed_low_vol_r01_s20260717,train,100,756,0.3,30,pathological_cov,mixed,low_vol,1,1324301324,data\synthetic_constrained_portfolio\instances\train\syn_n100_k30_pathological_cov_mixed_low_vol_r01_s20260717.txt
syn_n100_k30_high_corr_normal_low_vol_r03_s20260718,validation,100,756,0.3,30,high_corr,normal,low_vol,3,3704702596,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k30_high_corr_normal_low_vol_r03_s20260718.txt
syn_n100_k30_pathological_cov_normal_extreme_events_r02_s20260719,validation,100,756,0.3,30,pathological_cov,normal,extreme_events,2,1171305628,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k30_pathological_cov_normal_extreme_events_r02_s20260719.txt
syn_n100_k30_low_corr_heavy_tail_high_vol_r03_s20260720,validation,100,756,0.3,30,low_corr,heavy_tail,high_vol,3,547596647,data\synthetic_constrained_portfolio\instances\validation\syn_n100_k30_low_corr_heavy_tail_high_vol_r03_s20260720.txt
syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,test,100,756,0.3,30,low_corr,normal,low_vol,1,1765194680,data\synthetic_constrained_portfolio\instances\test\syn_n100_k30_low_corr_normal_low_vol_r01_s20260721.txt
syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722,test,100,756,0.3,30,high_corr,heavy_tail,extreme_events,1,3666161089,data\synthetic_constrained_portfolio\instances\test\syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722.txt
syn_n200_k05_low_corr_heavy_tail_high_vol_r03_s20260723,train,200,756,0.05,10,low_corr,heavy_tail,high_vol,3,3569216805,data\synthetic_constrained_portfolio\instances\train\syn_n200_k05_low_corr_heavy_tail_high_vol_r03_s20260723.txt
syn_n200_k05_pathological_cov_mixed_low_vol_r01_s20260724,train,200,756,0.05,10,pathological_cov,mixed,low_vol,1,3145477302,data\synthetic_constrained_portfolio\instances\train\syn_n200_k05_pathological_cov_mixed_low_vol_r01_s20260724.txt
syn_n200_k05_low_corr_skewed_extreme_events_r02_s20260725,train,200,756,0.05,10,low_corr,skewed,extreme_events,2,3888988539,data\synthetic_constrained_portfolio\instances\train\syn_n200_k05_low_corr_skewed_extreme_events_r02_s20260725.txt
syn_n200_k05_high_corr_mixed_high_vol_r02_s20260726,train,200,756,0.05,10,high_corr,mixed,high_vol,2,1530025494,data\synthetic_constrained_portfolio\instances\train\syn_n200_k05_high_corr_mixed_high_vol_r02_s20260726.txt
syn_n200_k05_high_corr_normal_low_vol_r03_s20260727,train,200,756,0.05,10,high_corr,normal,low_vol,3,285940230,data\synthetic_constrained_portfolio\instances\train\syn_n200_k05_high_corr_normal_low_vol_r03_s20260727.txt
syn_n200_k05_low_corr_normal_low_vol_r01_s20260728,train,200,756,0.05,10,low_corr,normal,low_vol,1,3006468839,data\synthetic_constrained_portfolio\instances\train\syn_n200_k05_low_corr_normal_low_vol_r01_s20260728.txt
syn_n200_k05_cluster_corr_mixed_extreme_events_r03_s20260729,train,200,756,0.05,10,cluster_corr,mixed,extreme_events,3,1375066038,data\synthetic_constrained_portfolio\instances\train\syn_n200_k05_cluster_corr_mixed_extreme_events_r03_s20260729.txt
syn_n200_k05_pathological_cov_skewed_high_vol_r03_s20260730,validation,200,756,0.05,10,pathological_cov,skewed,high_vol,3,3131864298,data\synthetic_constrained_portfolio\instances\validation\syn_n200_k05_pathological_cov_skewed_high_vol_r03_s20260730.txt
syn_n200_k05_cluster_corr_heavy_tail_low_vol_r02_s20260731,validation,200,756,0.05,10,cluster_corr,heavy_tail,low_vol,2,1854672900,data\synthetic_constrained_portfolio\instances\validation\syn_n200_k05_cluster_corr_heavy_tail_low_vol_r02_s20260731.txt
syn_n200_k05_high_corr_heavy_tail_extreme_events_r01_s20260732,validation,200,756,0.05,10,high_corr,heavy_tail,extreme_events,1,32363248,data\synthetic_constrained_portfolio\instances\validation\syn_n200_k05_high_corr_heavy_tail_extreme_events_r01_s20260732.txt
syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733,test,200,756,0.05,10,pathological_cov,normal,extreme_events,2,3143486696,data\synthetic_constrained_portfolio\instances\test\syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733.txt
syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734,test,200,756,0.05,10,cluster_corr,skewed,high_vol,1,1127088609,data\synthetic_constrained_portfolio\instances\test\syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734.txt
syn_n200_k10_low_corr_normal_low_vol_r01_s20260735,train,200,756,0.1,20,low_corr,normal,low_vol,1,2781457011,data\synthetic_constrained_portfolio\instances\train\syn_n200_k10_low_corr_normal_low_vol_r01_s20260735.txt
syn_n200_k10_low_corr_skewed_extreme_events_r02_s20260736,train,200,756,0.1,20,low_corr,skewed,extreme_events,2,2408237365,data\synthetic_constrained_portfolio\instances\train\syn_n200_k10_low_corr_skewed_extreme_events_r02_s20260736.txt
syn_n200_k10_high_corr_mixed_high_vol_r02_s20260737,train,200,756,0.1,20,high_corr,mixed,high_vol,2,3667897412,data\synthetic_constrained_portfolio\instances\train\syn_n200_k10_high_corr_mixed_high_vol_r02_s20260737.txt
